%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
23836000000,0,23836000000,map,0.0012060971930623055,-0.0005244108033366501,-0.0077581265941262245,0.008670685352276974,-0.008197049770059682,0.024893656751323046,-0.9996189332283419
23872000000,1,23872000000,map,0.0012301302049309015,-0.0005365173565223813,-0.0077100652270019054,0.008697536990102072,-0.008207775998949094,0.024921305083946188,-0.9996179217039777
23904000000,2,23904000000,map,0.0012552235275506973,-0.0005268276436254382,-0.007715828716754913,0.008672823193545044,-0.008197768694867241,0.024953673863602532,-0.9996174159417955
23936000000,3,23936000000,map,0.0012653738958761096,-0.0004998029908165336,-0.007721315138041973,0.008684266742039775,-0.008185195083996812,0.024901538211994534,-0.9996187224940994
23972000000,4,23972000000,map,0.0012756854994222522,-0.00042583016329444945,-0.0077113620936870575,0.008679830436382234,-0.008128231333908078,0.024876123662342486,-0.9996198604590092
24004000000,5,24004000000,map,0.0012571463594213128,-0.00035927753197029233,-0.007686797995120287,0.008655124460041238,-0.008020828013591675,0.024845482903475047,-0.9996216727734951
24036000000,6,24036000000,map,0.0012364723952487111,-0.0002580371801741421,-0.007638450711965561,0.008668952927471628,-0.008008349562402648,0.024794021601443228,-0.999622979325799
24072000000,7,24072000000,map,0.0011946617159992456,-0.00012927668285556138,-0.0076218596659600735,0.008637408563221193,-0.008012536670702466,0.02480127085938716,-0.9996229793257989
24104000000,8,24104000000,map,0.0011335585732012987,1.4180462130752858e-05,-0.007636625785380602,0.008666681422247954,-0.008048954943435998,0.02475288627729666,-0.9996236536753751
24136000000,9,24136000000,map,0.0010503799421712756,0.00017300974286627024,-0.007630572188645601,0.008627783647123802,-0.008012590300920835,0.024737713411832674,-0.9996246651997395
24172000000,10,24172000000,map,0.0009176580933853984,0.00032811478013172746,-0.007656718138605356,0.00865049587996688,-0.00801407035912301,0.024734720985588432,-0.9996245387591939
24204000000,11,24204000000,map,0.0007770475931465626,0.0004095009353477508,-0.00769393565133214,0.008686180904549807,-0.008018203569670753,0.024769871457246517,-0.9996233586474357
24236000000,12,24236000000,map,0.0006279040826484561,0.0004783245094586164,-0.007726798299700022,0.008675563561878886,-0.007986373767535138,0.02475697452160225,-0.9996239487033147
24272000000,13,24272000000,map,0.00047354481648653746,0.0005735537852160633,-0.007760272826999426,0.00866980961155845,-0.007974202136348285,0.024764392366940058,-0.9996239487033147
24304000000,14,24304000000,map,0.00031412712996825576,0.0006794895743951201,-0.0077784196473658085,0.00858406721951668,-0.007976663672821545,0.024771557331187022,-0.9996244544654969
24336000000,15,24336000000,map,0.00015212746802717447,0.0007750053191557527,-0.007786841597408056,0.00853208817802451,-0.00800082711138554,0.024760725591119692,-0.9996250023745274
24372000000,16,24372000000,map,-2.73967507382622e-05,0.0008467952720820904,-0.007838583551347256,0.008554489907132075,-0.007992120473865985,0.024698095374232454,-0.9996264353673769
