%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
37440000000,0,37440000000,map,-0.00014997649122960865,0.00028267738525755703,-0.005259464029222727,0.008591311641274323,-0.009725881260221314,0.027065526001937956,-0.9995494330751475
37476000000,1,37472000000,map,-7.637928501935676e-05,0.00026497553335502744,-0.00526502775028348,0.008569605396905737,-0.009739187110846072,0.02711049668929899,-0.9995482951102377
37508000000,2,37508000000,map,-1.1696778528857976e-05,0.00028739203116856515,-0.005336978007107973,0.008594354322696361,-0.009707979180521152,0.027127355428703426,-0.9995479579354496
37540000000,3,37540000000,map,3.6671739508165047e-05,0.0003297913062851876,-0.00544669758528471,0.008522283993764337,-0.009709897397195811,0.027117324478757865,-0.9995488008724198
37576000000,4,37576000000,map,6.508482329081744e-05,0.00037101225461810827,-0.005642886273562908,0.00847127675817079,-0.009716377804426616,0.02712411012136806,-0.9995490116066623
37608000000,5,37608000000,map,6.17651894572191e-05,0.0004053650191053748,-0.005831934046000242,0.008469313101925079,-0.00971832960687118,0.027140631685984296,-0.9995485058444803
37640000000,6,37640000000,map,6.814409425714985e-05,0.00045350613072514534,-0.006031873635947704,0.008559019540894105,-0.009719126939634221,0.02710687206032708,-0.9995487165787229
37676000000,7,37676000000,map,9.02971369214356e-05,0.0005188058130443096,-0.006174244452267885,0.008545474967885202,-0.00970636397663823,0.027122087072639522,-0.9995485058444802
37708000000,8,37708000000,map,0.0001159327948698774,0.0005512491916306317,-0.006300852634012699,0.008543688418953107,-0.009689972062971968,0.0271786902901896,-0.9995471149984794
37740000000,9,37740000000,map,0.00011562000145204365,0.0006026389310136437,-0.006444462575018406,0.008536544240017289,-0.009714301619388105,0.02721152268517968,-0.9995460613272666
37776000000,10,37776000000,map,0.00011484871356515214,0.0006832522340118885,-0.006598153151571751,0.008528087746513188,-0.009715909250009185,0.02722227013154993,-0.999545850593024
37808000000,11,37808000000,map,0.00014157252735458314,0.0007713295635767281,-0.006687935441732407,0.008545679116682676,-0.009708725517243855,0.027226105494764397,-0.9995456398587815
37840000000,12,37840000000,map,0.00018835988885257393,0.0008452824549749494,-0.006772538647055626,0.008491224112476617,-0.009686911847802404,0.02724675745053473,-0.9995458084461755
37876000000,13,37876000000,map,0.00022955381427891552,0.0009194851736538112,-0.006857724394649267,0.008445858833478117,-0.009702912627189956,0.02723044662016111,-0.9995464406489032
37908000000,14,37908000000,map,0.00027066300390288234,0.0009468058706261218,-0.006867590826004744,0.008416823811916316,-0.00974020843105989,0.027272762056066047,-0.999545176243448
37940000000,15,37940000000,map,0.0002982690930366516,0.0009524709894321859,-0.006863577291369438,0.008397727749864152,-0.009755650888181769,0.02728359379613332,-0.9995448812155083
37976000000,16,37976000000,map,0.0002907605667132884,0.0009008475462906063,-0.006858767010271549,0.008365722527935224,-0.009727097674245622,0.02726530206387956,-0.9995458927398726
38008000000,17,38008000000,map,0.00030118669383227825,0.0008389726281166077,-0.006863838527351618,0.008365716601034651,-0.009754686079318542,0.027278662614857452,-0.999545344830842
38040000000,18,38040000000,map,0.0003241446102038026,0.000776241417042911,-0.006883311551064253,0.008308089923001052,-0.009770404301953136,0.027321694547187136,-0.9995444597470231
38076000000,19,38076000000,map,0.00033936253748834133,0.0006916846032254398,-0.006908425595611334,0.008304384540008824,-0.009782188708969295,0.02733404357380087,-0.9995440804253866
38108000000,20,38108000000,map,0.0003781491832341999,0.0006400010315701365,-0.006921561434864998,0.008298863467490024,-0.009752226086308973,0.027343610908412752,-0.999544122572235
